Which of the following are the key domains of digital transformation? Select all that apply.|Change management$Data$Technology
Which of the following best describes digital transformation?|The process of integrating digital technology into all business areas to improve efficiency and deliver value.
True or False. Neural networks are composed of layers, including input, hidden, and output layers, where neurons in each layer are connected to neurons in the next layer.|True
A hospital adopts cloud computing as part of its digital transformation strategy. What is the primary benefit of using cloud computing in this scenario.|Providing secure, scalable storage for patient medical records.
What is the primary role of data in digital transformation?|To provide insights that drive informed decision-making and improve efficiency.
What is the purpose of the hidden layer in a neural network?|To extract and learn features from input data.
True or False: Machine Learning (ML) is a subset of Artificial Intelligence (AI) that focuses on enabling systems to learn and improve from data.|True
What is the role of "features" in a decision tree?|Features are used to split the data and make decisions at each node.
True or False: A neural network gives output in the hidden layer.|False
True or False: In a Random Forest, each tree is trained on a random subset of data, and the final prediction is based on the majority vote or the average.|True
A company implements AI tools to improve productivity, uses analytics to interpret sales trends, and conducts training sessions to prepare employees for new workflows. Which domains of digital transformation does this address?|Technology, Data, and Change management.
True or False: A company introducing AI-based chatbots to improve customer support is an example of digital transformation.|True
A retail company wants to adopt digital transformation technologies to improve its operations and customer experience. It is considering using AI for personalized recommendations, IoT devices for real-time inventory tracking, and cloud platforms for data management. Which benefits are these technologies likely to provide?|Improved customer engagement through personalized recommendations.$Scalable data storage and enhanced collaboration.$Real-time monitoring and optimization of inventory.
Netflix leverages digital transformation by using data analytics and machine learning to enhance user experience. Which of the following best describes how Netflix applies these technologies?|Providing personalized content recommendations based on viewing history.
Which of the following is a characteristic of a neural network?|Composed of input, hidden, and output layers.
Which of the following best explains the difference between Artificial Intelligence (AI) and Machine Learning (ML)?|ML is a subset of AI, where ML helps computers learn from data to make decisions or predictions.
What is the role of neurons in a neural network?|Neurons process inputs and pass the output to the next layer.
Which of the following correctly describes the purpose of weights in a neural network?|Weights determine the connections between neurons and influence how data flows through the network.
Fill in the blanks: A company is building a system that learns from historical data to predict future trends in sales. This system is an example of _ _ _ _ _ _.|Machine Learning (ML)
